date,route,stop_name,scheduled_time,actual_time,delay_minutes
08-12-2025,Waltham Shuttle (Mon-Fri),Spingold (front ),12:00,11:59,-0.473033333
08-12-2025,Waltham Shuttle (Mon-Fri),Admissions,12:01,12:02,1.110466667
08-12-2025,Waltham Shuttle (Mon-Fri),South St @ Gosman Athletic Ctr (MBTA Stop),12:03,12:04,1.31045
08-12-2025,Waltham Shuttle (Mon-Fri),Shakespeare Rd and South St (Northbound) (MBTA Stop),12:04,12:05,1.260466667
08-12-2025,Waltham Shuttle (Mon-Fri),Highland St and South St Northbound (MBTA Stop),12:05,12:05,0.777083333
08-12-2025,Waltham Shuttle (Mon-Fri),Highland St & Prospect St (Teo Mini Mart),12:06,12:07,1.043683333
08-12-2025,Waltham Shuttle (Mon-Fri),Crescent St @ Cherry St (in front of Watch Factory) (MBTA Stop),12:09,12:09,0.2939
08-12-2025,Waltham Shuttle (Mon-Fri),Crescent St and Brown St (MBTA Stop),12:09,12:09,0.460383333
08-12-2025,Waltham Shuttle (Mon-Fri),Crescent St and Woerd Ave,12:10,12:10,0.427066667
08-12-2025,Waltham Shuttle (Mon-Fri),Moody St and Washington Ave (MBTA Stop),12:12,12:11,-0.0727
08-12-2025,Waltham Shuttle (Mon-Fri),Moody ST and Brown Street (MBTA Stop),12:12,12:13,0.610433333
08-12-2025,Waltham Shuttle (Mon-Fri),Moody St @ Walnut St (Solea Tapas) (MBTA Stop),12:14,12:15,1.0938
08-12-2025,Waltham Shuttle (Mon-Fri),Moody St @ Kung Fu Tea (MBTA Stop),12:17,12:15,-1.239433333
08-12-2025,Waltham Shuttle (Mon-Fri),140 Moody St @ Enterprise Rent- A- Car (MBTA Stop),12:19,12:17,-1.939533333
08-12-2025,Waltham Shuttle (Mon-Fri),Moody St at Main St (Merc Apartments) (MBTA Stop),12:22,12:19,-2.989433333
08-12-2025,Waltham Shuttle (Mon-Fri),Main St and Grant Street (MBTA Stop),12:24,12:22,-1.00615
08-12-2025,Waltham Shuttle (Mon-Fri),Main St and Fiske Street (MBTA Stop),12:25,12:23,-1.0895
08-12-2025,Waltham Shuttle (Mon-Fri),Main St and Hammond St (MBTA Stop),12:25,12:24,-0.889466667
